dump mydmp all atom 15000 dump.lammpstrj

#Equilibrate (all WCA)
velocity all create 236.51 1337 #Set the temperature to 236.51 K
fix 1 all nvt temp 236.51 236.51 100 #use a nose-hoover thermostat to keep the temperature at 236.51 K
timestep 0.1
thermo 1000
run 10000000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12.48
  ghost atom cutoff = 12.48
  binsize = 6.24, bins = 85 85 85
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 5.76 | 5.785 | 7.227 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     81000   257.32242      0.56119881     845.27737      4526.812      -0.057985992  
     82000   253.76007     -0.19459778     913.96502      4543.7847      0.099143571  
     83000   243.72535      0.11631073     1011.9173      4498.5021      0.17641041   
     84000   235.42115     -0.12681016     1105.4062      4472.9572      0.31685115   
     85000   231.50004      1.0563007      1196.2518      4508.8946      0.0085127807 
     86000   231.13971      0.78269966     1314.6863      4621.9011     -0.030451844  
     87000   221.7823       1.6862371      1391.5625      4565.824       0.25487859   
     88000   217.93848      0.48359726     1391.7063      4509.7796      0.43765509   
     89000   219.64522      3.5516675      1342.4566      4488.0128      0.80521011   
     90000   218.66545      3.9505287      1340.4555      4472.395       0.33808815   
     91000   230.64567      3.2198464      1252.6407      4555.2255      0.82731851   
     92000   238.39627      2.4608075      1174.7456      4587.443       0.78206233   
     93000   243.3405       0.37542468     1046.8588      4528.1976      1.1801188    
     94000   248.44135      2.7922988      940.57104      4497.2938      0.76919253   
     95000   250.61597      3.4332261      914.81345      4503.2849      1.2217629    
     96000   256.3602       1.6329175      862.8219       4531.6637      0.96806605   
     97000   251.98857      1.6593508      906.56048      4512.893       1.2234988    
     98000   246.00204      3.4602298      927.52101      4450.0177      1.2526299    
     99000   240.82145      2.5851324      1006.539       4454.0527      0.76527894   
    100000   238.43362      3.3705321      1125.7341      4539.8755      0.49171093   
    101000   232.59894      3.8294379      1225.6896      4556.8254      0.47152033   
    102000   225.65722      3.762694       1290.3987      4522.1669      0.6303258    
    103000   217.59084      1.5103126      1357.1813      4471.3085      0.5988904    
    104000   219.22813      3.0096018      1359.6984      4498.7461      0.18025342   
    105000   224.11493      4.245349       1391.4691      4601.6578      0.25670506   
    106000   226.9168       5.5248225      1314.4406      4565.9893     -0.33344591   
    107000   226.96458      7.2147911      1240.501       4494.4231     -0.071739014  
    108000   232.96084      7.5044082      1153.0584      4493.0461      0.25454542   
    109000   242.77262      8.4856058      1072.9696      4554.2951      0.24321894   
    110000   251.33991      7.1619476      1005.4624      4608.0185     -0.15608126   
    111000   249.41872      12.057452      932.03411      4512.0033      0.03378805   
    112000   248.57641      11.560624      897.24271      4464.6659     -0.11823877   
    113000   249.47688      14.010546      941.78323      4524.5374     -0.069621118  
    114000   251.6853       12.518933      971.3945       4584.2483      0.15888512   
    115000   243.66449      16.561726      1057.9507      4560.1104      0.29298711   
    116000   236.45703      11.368811      1094.6882      4488.5529      0.24306328   
    117000   226.31804      12.44636       1213.8437      4463.7487     -0.085448422  
    118000   226.42863      17.173891      1273.0429      4529.2573      0.089477796  
    119000   222.59377      21.208817      1342.3187      4547.7107      0.44661132   
    120000   221.77877      15.143581      1370.377       4558.0454      0.32494139   
    121000   220.63918      16.364864      1366.9548      4539.5426      0.41289844   
    122000   223.30152      15.694455      1292.9614      4502.9635      0.84660781   
    123000   226.3929       18.749866      1229.7206      4486.9999      0.59205778   
    124000   237.82326      25.724155      1150.2982      4578.0621      0.5864576    
    125000   243.92117      23.978462      1088.7357      4601.984       0.89643641   
    126000   247.63241      20.645683      998.20989      4561.2143      1.580574     
    127000   248.75826      19.517485      939.75075      4517.7322      1.2501377    
    128000   249.76729      19.412128      933.11737      4525.4275      0.74079817   
    129000   249.93298      19.457894      952.10527      4546.8313      1.2047111    
    130000   248.40715      23.287792      991.70388      4568.4329      1.0578899    
    131000   244.60319      22.130201      1047.1294      4568.2856      1.1550554    
    132000   233.60255      19.75788       1148.0694      4509.4901      0.98478288   
    133000   228.06083      16.764577      1206.6279      4485.7816      0.85862267   
    134000   228.23924      21.590317      1286.7127      4573.2442      0.61257668   
    135000   227.10673      22.710948      1341.8529      4613.3046      0.16228071   
    136000   221.90253      19.256239      1372.7984      4566.3498      0.51299344   
    137000   220.37464      21.128041      1356.7756      4530.3424      0.35414472   
    138000   225.3562       24.664961      1299.7942      4548.1587     -0.051743747  
    139000   230.03546      30.156273      1248.3294      4569.1216      0.46016574   
    140000   234.60656      31.055067      1187.1352      4574.2154      0.09606707   
    141000   241.54726      34.05271       1090.2017      4579.5656     -0.027814243  
    142000   246.34017      35.490389      1020.7288      4580.0925     -0.047734329  
    143000   247.98194      33.695605      999.13086      4580.1851      0.21281319   
    144000   249.72296      34.369079      969.63402      4576.2669      0.15539105   
    145000   248.74501      32.770476      981.66654      4572.7113      0.096973567  
    146000   248.51742      29.877843      1004.5566      4589.4532      0.0015494338 
    147000   242.20889      30.370026      1095.382       4590.5278      0.084400282  
    148000   238.44295      37.330633      1140.2078      4588.4428     -0.038690227  
    149000   229.48728      32.672773      1244.6874      4560.1544      0.18902373   
    150000   225.12038      33.262185      1301.0369      4554.6253      0.25002132   
    151000   226.37573      36.621535      1344.816       4619.7215      0.48026137   
    152000   225.54207      39.826254      1387.4381      4653.6228      0.1481761    
    153000   220.72574      47.660374      1387.9201      4593.0417      0.56895265   
    154000   222.51978      53.20173       1284.8072      4521.1338      0.26713707   
    155000   226.70155      53.182563      1273.4152      4569.5425      1.0572924    
    156000   239.18068      57.988641      1190.0285      4669.4746      1.1840258    
    157000   241.27417      57.485108      1120.3307      4629.2204      0.91374637   
    158000   242.35212      56.685797      1054.8714      4578.3818      0.94806372   
    159000   247.10559      57.730259      1011.432       4603.9848      1.0999475    
    160000   251.5242       64.694197      1003.3168      4666.0413      1.5490862    
